doc_number,corp_name,status,filing_type,address_1,address_2,city,state,zip_code,file_date,fei_number,registered_agent,ra_city,ra_state,email_1,email_1_score,email_2,email_2_score,email_3,email_3_score,website_found
L26000175666,REDSTONE EMPLOYER SOLUTIONS LLC,A,FLAL,6601 PARK OF COMMERCE BLVD,,BOCA RATON,,33487,03262026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,,,,,,,
L26000175916,JTECH LLC SERVICE,A,FLAL,118 W ASTOR,,DELRAY BEACH,,33484,03212026,,KOVACS              JASON         BMR,DELRAY BEACH,FL,,,,,,,
L26000176256,YAND MEDICAL CONSULTING LLC,A,FLAL,1023 NW 87TH TERRACE,,GAINESVILLE,,32606,03262026,,HORNE               PATRICK       M,GAINESVILLE,FL,,,,,,,
L26000176376,"INTEGRATED HSEQ & CSR SOLUTIONS, LLC",A,FLAL,3101 SW 18TH ST,,MIAMI,,33145,03262026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000176686,SUMMIT ST PROPERTIES 4 LLC,A,FLAL,188 LOMOND CT,,ST AUGUSTINE,,32095,03252026,,"SUMMIT ST PROPERTIES, LLC",ST AUGUSTINE,FL,,,,,,,
L26000175117,"BANNER DRYWALL & HOME SOLUTIONS, LLC",A,FLAL,30641 EDGEWOOD ST,,SORRENTO,,32776,03272026,,BANNER              WESLEY        C,SORRENTO,FL,,,,,,,
L26000175197,ELEVATE RE DEVELOPMENT LLC,A,FLAL,11518 NAVEL ORANGE WAY,,TAMPA,,33626,03192026,,PRIMELY TAX LLC,ORLANDO,FL,,,,,,,
L26000175257,BOSIC CONSULTING GROUP LLC,A,FLAL,434 SKINNER BLVD,205,DUNEDIN,,34698,03262026,,BOSIC               ROBERT        DIII,DUNEDIN,FL,,,,,,,
P26000017407,SYNDEW TECHNOLOGY INC,A,DOMP,"7901 4TH ST N, STE 300",,ST. PETERSBURG,,33702,04022026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,,,,,,
L26000175457,ALELUYA TECHNOLOGIES LLC,A,FLAL,18464 TAPESTRY LAKE CIRCLE,302,LUTZ,,33548,03262026,,PIMENTEL            RAFAEL,LUTZ,FL,,,,,,,
L26000175497,"AW INTEGRATED HEALTH CONSULTING, LLC",A,FLAL,11902 NORTHUMBERLAND DR,,TAMPA,,33626,03262026,,WAZWAZ              ALLAH,TAMPA,FL,,,,,,,
P26000017467,"BY POLAR NETWORK, INC.",A,DOMP,382 NE 191ST ST #856862,,MIAMI,,33179,03272026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,,,,,,,
L26000175537,GOOD WORX GLOBAL SOLUTIONS LLC,A,FLAL,405 CORNWALL CIRCLE,,PENSACOLA,,32514,03262026,,GRICE               DERRICK,PENSACOLA,FL,,,,,,,
L26000175787,"PUPPIT NETWORKS SERVICES, LLC",A,FLAL,1162 FORESHORE LN,,HAINES CITY,,33844,03242026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000175867,"R3J2 SOLUTIONS & CATTLE, LLC",A,FLAL,627 CENTURY DR,,WINTER HAVEN,,33881,03252026,,INC AUTHORITY RA,ORLANDO,FL,,,,,,,
L26000175887,"E & B BILLIARD AND HOME SOLUTIONS, LLC",A,FLAL,845 ST CLAIRE ST,,JACKSONVILLE,,32254,03262026,,BOSS                EVERETT,JACKSONVILLE,FL,,,,,,,
L26000175897,UNITED AP SOLUTIONS LLC,A,FLAL,9340 NORTH 56TH STREET,200B,TEMPLE TERRACE,,33617,03262026,,PEEBLES             LEONARD,LAND O LAKES,FL,,,,,,,
L26000175967,EASY DRILL SOLUTIONS LLC,A,FLAL,10863 TIMBER CREEK DR,,FORT MYERS,,33913,03202026,,BLAS LOPEZ          DIEGO JOSE,FORT MYERS,FL,,,,,,,
L26000175977,EIDDI SOLUTIONS LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT LLC,ST. PETERSBURG,FL,,,,,,,
L26000175987,SINCLAIRS AIR AND HEAT LLC,A,FLAL,308 ORCHID BLVD,,MELBOURNE,,32901,03212026,,DEDICATED TAX,WEST MELBOURNE,FL,,,,,,,
L26000176037,C29 DEVELOPMENT LLC,A,FLAL,1641 COUNTRY COVE CIR,,MALABAR,,32950,03212026,,DEDICATED TAX,WEST MELBOURNE,FL,,,,,,,
L26000176047,OVER HUB DEVELOPMENT LLC,A,FLAL,2700 SOUTHWEST 116TH AVENUE,,DAVIE,,33330,03262026,,BAILEY              ALLEN,DAVIE,FL,,,,,,,
L26000176067,"AC2 INNOVATIONS, LLC.",A,FLAL,616 DESOTO AVE,,LEHIGH ACRES,,33972--793,03262026,,MILLER              ALI           L,LEHIGH ACRES,FL,,,,,,,
L26000176177,FAST TECH LLC,A,FLAL,7901 4TH ST N,STE 300,ST. PETERSBURG,,33702,03262026,,ROBERTS             DAVID,ST. PETERSBURG,FL,,,,,,,
L26000176217,TECH MERX EQUIPMENT LLC,A,FLAL,1403 WELSON RD,,ORLANDO,,32837,03262026,,SIDDIQUI            NURIN,ORLANDO,FL,,,,,,,
L26000176227,CLINICAL INTEGRITY CONSULTING LLC,A,FLAL,10305 HENBURY ST,,ORLANDO,,32832,04022026,,MEIER               GREGORY       YESQ.,ORLANDO,FL,,,,,,,
L26000176477,DMC & ARCH SOLUTIONS LLC,A,FLAL,8739 ROBILINA RD,,PORT RICHEY,,34668,04162026,,MARTINEZ CALISTRE   DAYRON,PORT RICHEY,FL,,,,,,,
L26000176507,"PATERSON DEVELOPMENT, LLC",A,FLAL,2701 NE 42ND ST,,LIGHTHOUSE POINT,,33064,03222026,,PATERSON            TERENCE,LIGHTHOUSE POINT,FL,,,,,,,
L26000176737,PC WIRELESS SOLUTIONS LLC,A,FLAL,776 S TAMPA AVE UNIT C,,ORLANDO,,32805,03262026,,PIERRE              BERGETTE,ORLANDO,FL,,,,,,,
L26000175148,THE VELVET POUR MOBILE DRY BAR LLC,A,FLAL,1435 8TH AVE,,DELAND,,32724,03262026,,QUICK               SAVANNAH,DELAND,FL,,,,,,,
L26000175268,"BENCHSIDE BIOTECH CONSULTING, LLC",A,FLAL,311 S 2ND STREET,102-C,FORT PIERCE,,34950,04012026,,DEIULIO             ALEX          M,OCALA,FL,,,,,,,
P26000017398,GREEN GROVE DEVELOPMENT CORP,A,DOMP,5600 NORTH FEDERAL HIGHWAY,,FORT LAUDERDALE,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,,,,,,,
P26000017408,ORCHARD MILLS DEVELOPMENT CORP,A,DOMP,5600 NORTH FEDERAL HIGHWAY,,FORT LAUDERDALE,,33308,04012026,,LYNN                MARK          JESQ,FORT LAUDERDALE,FL,,,,,,,
L26000175438,JAVI-AIR COMFORT SOLUTIONS LLC,A,FLAL,4570 26TH AVE SW,,NAPLES,,34116,03262026,,JIMENEZ             JAVIER,NAPLES,FL,,,,,,,
P26000017428,AMPLIFIED BUSINESS SOLUTIONS INC.,A,DOMP,19091 SW 12TH ST,,PEMBROKE PINES,,33029,03252026,,SARIN               AAYU,PEMBROKE PINES,FL,,,,,,,
L26000175508,OAKAS AI LLC,A,FLAL,9777 TRANQUILITY LAKE CIR APT 206,,RIVERVIEW,,33578,03262026,,MARTINO             ERIC,RIVERVIEW,FL,,,,,,,
L26000175528,"13599 PERDIDO KEY DRIVE UNIT T-PH1A, LLC",A,FLAL,7124 MELOGOLD CIRCLE,,LAND O LAKES,,34637,03262026,,TUCKNOTT            BONNIE        J,LAND O LAKES,FL,,,,,,,
P26000017498,"L.I.S.A. RESEARCH DEVELOPMENT FOUNDATION, INC.",A,DOMP,5765 MAYPOP CIR,,SARASOTA,,34238,03272026,,SUTRYK              JOHN          AP,SARASOTA,FL,,,,,,,
L26000175558,"BLESSED & GRATEFUL AI, LLC",A,FLAL,577 GOUGH PL,,THE VILLAGES,,32163,03262026,,DONNELLY            SEAN,THE VILLAGES,FL,,,,,,,
L26000175608,RIMWISE INNOVATION II LLC,A,FLAL,111 2ND AVENUE NE STE 360,,SAINT PETERSBURG,,33701,03262026,,COMPARETTO          ANTHONY       JESQ.,SAINT PETERSBURG,FL,,,,,,,
L26000175698,"AMJ CONSULTING SOLUTIONS, LLC",A,FLAL,800 S. DAKOTA AVE,#318,TAMPA,,33606,03242026,,JAMES               ANNELISE      M,TAMPA,FL,,,,,,,
L26000175948,RFC3 CONSULTING LLC,A,FLAL,8601 CABIN HILL ROAD,,TALLAHASSEE,,32311--850,03262026,,COLLINS             ROBERT        FIII,TALLAHASSEE,FL,,,,,,,
L26000175958,DIRECT METALS NETWORK LLC,A,FLAL,12855 SW 136TH AVE,SUITE 214,MIAMI,,33186,03262026,,BENITEZ             EMIL,MIAMI,FL,,,,,,,
L26000175968,TULVAPP ENTERTAINMENT LLC,A,FLAL,2006 ROOSEVELT DRIVE,,KEY WEST,,33040,03252026,,PARKS               TEREZA,KEY WEST,FL,,,,,,,
L26000175988,ORTIZ SLIDING DOOR SOLUTIONS LLC,A,FLAL,1006 ASHENTREE DR,,PLANT CITY,,33563,03262026,,ORTIZ               BRYAN          MANAGER,PLANT CITY,FL,,,,,,,
L26000176118,PLAZMATIC MOBILE PHLEBOTOMY SERVICES LLC,A,FLAL,7901 4TH ST N STE 300,,ST. PETERSBURG,,33702,03262026,,REGISTERED AGENTS INC,ST. PETERSBURG,FL,,,,,,,
L26000176158,PRESTIGE MOUNT SOLUTIONS LLC,A,FLAL,1809 JACKSON STREET,913,HOLLYWOOD,,33020,03262026,,KORNILOV            ILIA,HOLLYWOOD,FL,,,,,,,
L26000176178,JM SOLUTIONS PAVERS LLC,A,FLAL,4354 NW 9TH AVE APT 12-2D,,POMPANO BEACH,,33064,03262026,,ESCOBAR GONZALES    KEVIN         L,POMPANO BEACH,FL,,,,,,,
L26000176188,BLOW MOLDING SOLUTIONS LLC,A,FLAL,2127 LOCKLIN LN,,THE VILLAGES,,32163,03262026,,"LEGALZOOM USCA, INC.",FORT LAUDERDALE,FL,,,,,,,
L26000176298,"SOUTHERN ADVOCACY SOLUTIONS FOR UNIQUE LEARNERS, LLC",A,FLAL,450 MOFFAT LOOP,,OVIDEO,,32765,04012026,,MYERS               URSULA        P,OVIDEO,FL,,,,,,,
L26000176428,ACOUSTIC INFRASTRUCTURE LLC,A,FLAL,10554 TIDEWATER KEY BLVD,,ESTERO,,33928,03262026,,CONROY              LAWRENCE,ESTERO,FL,,,,,,,
L26000176558,TRIMAX POWER SYSTEMS LLC,A,FLAL,505 SW 16TH CT,,FORT LAUDERDALE,,33315,04012026,,REGISTERED AGENTS INC,FORT LAUDERDALE,FL,,,,,,,
L26000176628,M & M SOLUTIONS MULTI SERVICES LLC,A,FLAL,1031 TROY DR,,LAKE WALES,,33853,03212026,,WILIAMS             BENJAMIN      T,LAKE WALES,FL,,,,,,,
L26000176668,LEVEL UP CLOSING SOLUTIONS LLC,A,FLAL,635 HERITAGE SQUARE DR,,HAINES CITY,,33844,03262026,,SIQUEIRA            ERIKA,HAINES CITY,FL,,,,,,,
L26000176688,PB FARMS DEVELOPMENT LLC,A,FLAL,2435 NORTHWEST 53RD STREET,,BOCA RATON,,33496,03262026,,TURI                LEONARD       PJR,"BOCA RATON,",FL,,,,,,,
L26000175189,MOOK AI SOLUTIONS LLC,A,FLAL,7901 4TH ST N,STE 300,ST. PETERSBURG,,33702,03262026,,NORTHWEST REGISTERED AGENT,ST. PETERSBURG,FL,,,,,,,
L26000175269,B&F SOLUTIONS LLC,A,FLAL,14812 PORTER RD,,WINTER GARDEN,,34787,03262026,,BACELAR             SUE           E,WINTER GARDEN,FL,,,,,,,
L26000175349,MC DIGITAL GROUP LLC,A,FLAL,1485 21ST ST SW,,NAPLES,,34117,03222026,,CAMPANILE           JOANNA,NAPLES,FL,,,,,,,
P26000017419,GOLDEN GLOBAL DEVELOPMENT INC,A,DOMP,6030 37TH STREET,,VERO BEACH,,32966,04012026,,BASS                RICHARD,SEBASTIAN,FL,,,,,,,
L26000175459,"DANIEL INTEGRITY CONSULTING, LLC",A,FLAL,10814 WESTSIDE STREET,,GLEN ST MARY,,32040,03262026,,MALONEY             FRANK         EJR,MACCLENNY,FL,,,,,,,
L26000175469,NISREEN PROPERTY SOLUTIONS LLC,A,FLAL,22 S TREASURE DR,,TAMPA,,33609,03262026,,ALHASSANI           NISREEN,TAMPA,FL,,,,,,,
L26000175549,SUNCOR SOLUTIONS LLC,A,FLAL,1018 WOODSHIRE LN,,NAPLES,,34105,04012026,,ROBINSON            ROSS          C,NAPLES,FL,,,,,,,
F26000001989,"MARKETDESIGN CONSULTING, INC.",A,FORP,"126 N SALINA ST, UNIT 4",,SYRACUSE,,13202,04022026,934325695,"CAPITOL CORPORATE SERVICES, INC.",TALLAHASSEE,FL,,,,,,,
L26000175889,PRACTICE FLOW SOLUTIONS LLC,A,FLAL,19655 E COUNTRY CLUB DR,APT 602,MIAMI,,33180,03262026,,BARDA               MAURICE       M,MIAMI,FL,,,,,,,
L26000175949,"REGGAE WORLD MUSIC NETWORK, LLC",A,FLAL,4013 SW 69 WAY,,MIRAMAR,,33023,03262026,,DE-ALLIE KEANE      SONIA         E,MIRAMAR,FL,,,,,,,
L26000175969,"TRUE HOME DEVELOPMENT, LLC",A,FLAL,1490 SAINT CLAIR RD,,ENGLEWOOD,,34223,03262026,,ANANCHENKO          IVAN,ENGLEWOOD,FL,,,,,,,
L26000176009,561 ROOFING SOLUTIONS LLC,A,FLAL,135 TWO PINE DR,,GREENACRES,,33413,03242026,,OSENDI CEBALLO      DARIEL,WEST PALM BEACH,FL,,,,,,,
L26000176069,"GEO'S CAR SERVICE SOLUTIONS, LLC.",A,FLAL,5200 SW 89TH PL,,MIAMI,,33165,03262026,,GOMEZ GOMEZ         GEORGE        E,MIAMI,FL,,,,,,,
L26000176239,HURRICANE PEDESTAL SYSTEMS LLC,A,FLAL,2251 BLOUNT RD,,POMPANO BEACH,,33069,03262026,,ROWLAND             JERRY,POMPANO BEACH,FL,,,,,,,
L26000176249,LAB CLEANING SOLUTIONS LLC,A,FLAL,8613 BAYSHIRE WAY,#180,ORLANDO,,32817,03202026,,BACHIN  TEJERA      LUIS          A,ORLANDO,FL,,,,,,,
L26000176599,TOSBELL TECHNOLOGIES LLC,A,FLAL,150 SE 2ND AVE 1403 #6799,,MIAMI,,33131,04022026,,LUPA ENTERPRISES INC,MIAMI,FL,,,,,,,
L26000176719,"THREE JAYS DEVELOPMENT, LLC",A,FLAL,16432 BRAEBURN RIDGE TRAIL,,DELRAY BEACH,,33446,03282026,,HARRIS              LAWRENCE      M,DELRAY BEACH,FL,,,,,,,
